<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150115;180000;64.9941000
USDRUB;60;20150115;190000;64.5269000
USDRUB;60;20150115;200000;63.9695000
USDRUB;60;20150115;210000;64.8356000
USDRUB;60;20150115;220000;64.5252000
USDRUB;60;20150115;230000;64.4853000
USDRUB;60;20150116;000000;63.9989000
USDRUB;60;20150116;010000;64.6059000
USDRUB;60;20150116;020000;65.0688000
USDRUB;60;20150116;030000;64.9560000
USDRUB;60;20150116;040000;65.1867000
USDRUB;60;20150116;050000;64.7700000
USDRUB;60;20150116;060000;65.1224000
USDRUB;60;20150116;070000;64.7700000
USDRUB;60;20150116;080000;65.0783000
USDRUB;60;20150116;090000;65.1479000
USDRUB;60;20150116;100000;65.0995000
USDRUB;60;20150116;110000;64.8950000
USDRUB;60;20150116;120000;64.8950000
USDRUB;60;20150116;130000;63.9850000
USDRUB;60;20150116;140000;64.9158000
USDRUB;60;20150116;150000;65.2346000
USDRUB;60;20150116;160000;65.1101000
USDRUB;60;20150116;170000;65.1018000
USDRUB;60;20150116;180000;65.1501000
USDRUB;60;20150116;190000;65.3364000
USDRUB;60;20150116;200000;65.2334000
USDRUB;60;20150116;210000;65.4317000
USDRUB;60;20150116;220000;65.0610000
USDRUB;60;20150116;230000;65.0045000
USDRUB;60;20150117;000000;64.8410000
USDRUB;60;20150117;010000;65.1390000
USDRUB;60;20150117;020000;65.0600000
USDRUB;60;20150117;030000;65.1410000
USDRUB;60;20150117;040000;65.2980000
USDRUB;60;20150117;050000;65.1470000
USDRUB;60;20150117;060000;65.1621000
USDRUB;60;20150119;000000;65.1470000
USDRUB;60;20150119;010000;65.1207000
USDRUB;60;20150119;020000;65.1470000
USDRUB;60;20150119;030000;65.1207000
USDRUB;60;20150119;040000;65.1470000
USDRUB;60;20150119;050000;65.1207000
USDRUB;60;20150119;060000;65.1207000
USDRUB;60;20150119;070000;65.1470000
USDRUB;60;20150119;080000;65.1470000
USDRUB;60;20150119;090000;65.1470000
USDRUB;60;20150119;100000;65.2120000
USDRUB;60;20150119;110000;65.2120000
USDRUB;60;20150119;120000;65.2120000
USDRUB;60;20150119;130000;65.5850000
USDRUB;60;20150119;140000;64.9387000
USDRUB;60;20150119;150000;64.8006000
USDRUB;60;20150119;160000;64.6657000
USDRUB;60;20150119;170000;64.3237000
USDRUB;60;20150119;180000;64.3753000
USDRUB;60;20150119;190000;64.6162000
USDRUB;60;20150119;200000;64.7218000
USDRUB;60;20150119;210000;64.8277000
USDRUB;60;20150119;220000;64.7646000
USDRUB;60;20150119;230000;64.7704000
USDRUB;60;20150120;000000;64.5737000
USDRUB;60;20150120;010000;65.0273000
USDRUB;60;20150120;020000;64.9695000
USDRUB;60;20150120;030000;64.9382000
USDRUB;60;20150120;040000;64.2507000
USDRUB;60;20150120;050000;64.1266000
USDRUB;60;20150120;060000;64.5530000
USDRUB;60;20150120;070000;64.6779000
USDRUB;60;20150120;080000;64.5309000
USDRUB;60;20150120;090000;64.4253000
USDRUB;60;20150120;100000;64.5754000
USDRUB;60;20150120;110000;64.3533000
USDRUB;60;20150120;120000;64.4798000
USDRUB;60;20150120;130000;64.0337000
USDRUB;60;20150120;140000;64.9277000
USDRUB;60;20150120;150000;65.1199000
USDRUB;60;20150120;160000;65.0782000
USDRUB;60;20150120;170000;65.0272000
USDRUB;60;20150120;180000;64.9273000
USDRUB;60;20150120;190000;65.0120000
USDRUB;60;20150120;200000;64.9717000
USDRUB;60;20150120;210000;65.5364000
USDRUB;60;20150120;220000;65.4240000
USDRUB;60;20150120;230000;65.3820000
